Chris Rea	http://streaming.exclusive.radio/er/chrisrea/icecast.audio	0
Christmas Carols	http://streaming.exclusive.radio/er/christmascarols/icecast.audio	0
Christmas Pop	http://streaming.exclusive.radio/er/christmaspop/icecast.audio	0
Chuck Berry	http://streaming.exclusive.radio/er/chuckberry/icecast.audio	0
Cliff Richard	http://streaming.exclusive.radio/er/cliffrichard/icecast.audio	0
Coldplay	http://streaming.exclusive.radio/er/coldplay/icecast.audio	0
Creedence Clearwater Revival	http://streaming.exclusive.radio/er/creedence/icecast.audio	0
Crosby Stills Nash and Young	http://streaming.exclusive.radio/er/csny/icecast.audio	0
Crowded House	http://streaming.exclusive.radio/er/crowdedhouse/icecast.audio	0
Curtis Mayfield	http://streaming.exclusive.radio/er/curtismayfield/icecast.audio	0
Daft Punk	http://streaming.exclusive.radio/er/daftpunk/icecast.audio	0
Dave Brubeck	http://streaming.exclusive.radio/er/davebrubeck/icecast.audio	0
David Bowie	http://streaming.exclusive.radio/er/davidbowie/icecast.audio	0
Dean Martin	http://streaming.exclusive.radio/er/deanmartin/icecast.audio	0
Deep Purple	http://streaming.exclusive.radio/er/deeppurple/icecast.audio	0
Def Leppard	http://streaming.exclusive.radio/er/defleppard/icecast.audio	0
Depeche Mode	http://streaming.exclusive.radio/er/depechemode/icecast.audio	0
Diana Krall	http://streaming.exclusive.radio/er/dianakrall/icecast.audio	0
Diana Ross	http://streaming.exclusive.radio/er/dianaross/icecast.audio	0
Dionne Warwick	http://streaming.exclusive.radio/er/dionnewarwick/icecast.audio	0
Dire Straits	http://streaming.exclusive.radio/er/direstraits/icecast.audio	0
Disco	http://streaming.exclusive.radio/er/disco/icecast.audio	0
Dolly Parton	http://streaming.exclusive.radio/er/dollyparton/icecast.audio	0
Donna Summer	http://streaming.exclusive.radio/er/donnasummer/icecast.audio	0
The Doors	http://streaming.exclusive.radio/er/doors/icecast.audio	0
Dr Hook	http://streaming.exclusive.radio/er/drhook/icecast.audio	0
Dr. Dre	http://streaming.exclusive.radio/er/drdre/icecast.audio	0
Drake	http://streaming.exclusive.radio/er/drake/icecast.audio	0
Dua Lipa	http://streaming.exclusive.radio/er/dualipa/icecast.audio	0
The Dubliners	http://streaming.exclusive.radio/er/thedubliners/icecast.audio	0
Duke Ellington	http://streaming.exclusive.radio/er/dukeellington/icecast.audio	0
Duran Duran	http://streaming.exclusive.radio/er/duranduran/icecast.audio	0
Eagles	http://streaming.exclusive.radio/er/eagles/icecast.audio	0
Ed Sheeran	http://streaming.exclusive.radio/er/edsheeran/icecast.audio	0
Electric Light Orchestra	http://streaming.exclusive.radio/er/elo/icecast.audio	0
Ella Fitzgerald	http://streaming.exclusive.radio/er/ellafitzgerald/icecast.audio	0
Elton John	http://streaming.exclusive.radio/er/eltonjohn/icecast.audio	0
