Panorama 80	https://stream.laut.fm/panorama80	0	
Heart 80s	https://ice-sov.musicradio.com/Heart80sMP3	30	
Unsung 80s Radio	https://unsung80s.out.airtime.pro:8000/unsung80s_a	30	
Radio One Live 80s & 90s	http://91.232.4.33:8198/stream	30	
90s 90s Hits	https://streams.90s90s.de/pop/mp3-192/	0	
Mbox - Disco Polo	http://panel.radiombox.pl/radio/8030/DiscoPolo320kbps	0	
Mbox - Gold Hits	http://panel.radiombox.pl/radio/8040/GoldHits320kbps	0	
Hitsound-Fm	https://s3.slotex.pl:7202/stream/1/	0	
Radio Nedds24.pl	http://s1.nedds24.pl:8100/radio.mp3	0	
Radio Nedds24.pl - Disco	http://s1.nedds24.pl:8120/radio.mp3	0	
Radio Dla Ciebie	http://stream2.nadaje.com:11140/rdc	0	
Radio Express FM	https://stream.rcs.revma.com/yx6cub73kwzuv	0	
Euro Radio	https://stream.laut.fm/euroradio	30	
Hit Radio Eurodance	https://streams.ffh.de/ffhchannels/mp3/hqeurodance.mp3	0	
Eurodance 1	https://stream.laut.fm/eurodance1	30	
Eurodance 90	http://www.radiart.eu:8394/autodj	0	
Sunbeatsradio	https://stream.laut.fm/sunbeatsradio	0	
Radio Larmo	http://larmo.stream.laut.fm/larmo	0	
Radio Roland	https://ffn-stream29.radiohost.de/radioroland_mp3-192	0	
Radio Akadera	https://stream4.nadaje.com:11847/;	0	
Radio Tychy	https://s3.slotex.pl:7586/stream/1/	0	
Radio Beat	https://s3.slotex.pl:7816/stream/1/	0	
Radio Bon Ton	https://streaming.inten.pl:8020/bonton.mp3	0	
Radio DiscoParty.pl	https://s3.slotex.pl:7354/stream/1/	20	
Radio Dobra Nuta	https://s3.slotex.pl:7100/stream/1/	0	
Radio Elblag	http://n05.radiojar.com/q87xmtvrrg8uv	0	
Radio Malbork	http://stream3.nadaje.com:9022	0	
Radio Świnoujście	http://185.243.52.116:8010	0	
Plock FM	https://stream.rcs.revma.com/6qvcy46wmc9uv	0	
Radio Flirt	https://s3.slotex.pl:7684/stream/1/	20	
Radio Hit-Radio.pl	http://51.255.8.139:9090/stream	0	
Radio Ibiza	https://streams.radio.co/sd1bcd1376/listen	0	
Radio Index	https://stream.wzielonej.pl/radio/8000/1	0	
Radio Jard	http://online.jard.pl:8744/jard1	30	
Radio Lajt FM	https://s3.slotex.pl:7152/stream/1/	0	
Radio Leliwa	https://streaming.g-news.pl/radio/8050/leliwa	0	
Radio Lolusiowe	https://s3.slotex.pl:7570/stream/1/	0	
Radio Mega	http://stream1.dabcom.pl/mg_src	0	
Radio Mega The Best	https://s3.slotex.pl:7420/stream/1/	0	
Radio Muzo.fm	https://stream.rcs.revma.com/1nnezw8qz7zuv	0	
Muzyczny Zakątek	https://s3.slotex.pl:7336/stream/1/	0	
Nasze.FM	https://online.nasze.fm:8443/stream	0	
Norda FM	http://94.177.253.77:8001/relay_mp3_128	0	
Nuta	https://stream.rcs.revma.com/0004tehdxzzuv	0	
ONY	https://stream.rcs.revma.com/yxv344rra2zuv	0	
Parada	http://stream4.nadaje.com:15274/live	0	
PRS24	https://solid24.streamupsolutions.com/proxy/hgrchhkx?mp=/stream	0	
Radom	http://stream6.nadaje.com:15292/radioradompl	0	
Radio Romans	http://51.255.8.139:9048/stream	0	
Radio Santori RPG	https://s3.slotex.pl:7626/stream/1/	0	
Radio Sud	http://stream2.nadaje.com:8012	0	
Radio Super FM	https://stream.super.fm:8443/superfm.mp3	0	
Radio Trendy	http://stream.trendyradio.pl:8000/mi	0	
W Nienagannym Stylu	http://51.255.8.139:8810/stream	0	
Wasze Radio FM	https://sluchaj.link:5443/wasze	0	
Radio Wielkopolska	http://217.182.76.63:8000/webstream	0	
Radio Wolna Strefa	http://91.232.4.33:8186/stream	0	
P8 Pop	https://p8.p4groupaudio.com/P08_MH	0	
FM UK top 40	http://listen.livestreamingservice.com/181-uktop40_128k.mp3	0	
FM Techno Club	http://listen.livestreamingservice.com/181-technoclub_128k.mp3	0	
FM Party	http://listen.livestreamingservice.com/181-party_128k.mp3	30	
FM 90's Dance	http://listen.livestreamingservice.com/181-90sdance_128k.mp3	0	
FM 40 Rock & Roll	http://listen.livestreamingservice.com/181-rock40_128k.mp3	0	
Vinyl Maxi FM	https://stream.laut.fm/vinyl-maxi-fm	0	
Radiodillo	https://stream.laut.fm/radiodillo	0	
Energy Extravagance	https://edge09.streamonkey.net/energy-hamburg/stream/mp3?aggregator=icecastdirectory	0	
Polskie Radio Londyn	https://n28a-eu.rcs.revma.com:443/v61s40vqa78uv	0	
Energy Radio London	http://lunar.citrus3.com:9038/stream	0	
Sami Swoi Radio	https://s2.radio.co:80/s0dc6b5c9b/listen	0	
Dance Land	http://likeradiostream.com/danceland?ref=RF	0	
Radio Caroline	https://stream.radiocaroline.net/rc128/;stream.mp3	0	
Radio 1 Eger	https://dc2.dcsolutions.hu:8445/radio1eger	0	
Radio Centrum	http://shot2.inten.pl:8888/rcfm.mp3	0	
Radio Fest	https://play.radiofest.pl:8443/fest	0	
Radio Wrzesnia	https://s1.slotex.pl:7446/listen.mp3	0	
Radio 5 Suwalki	http://streaming.radio5.com.pl:8880/radio5suwalki	0	
WPNA Radio USA	https://mercury.reliastream.com/proxy/wpnafmad?mp=/stream	0	
Radio Vanessa	https://s1.slotex.pl:7358/;	0	
Retro FM	https://edge01.cdn.bitflip.ee:8888/RetroFMBackUp	0	
Disco Rhythm	https://c3.radioboss.fm:18018/autodj	0	
Radio Weekend	https://stream.weekendfm.pl/weekendfm_najlepsza	0	
Radio Bielsko	https://stream.rcs.revma.com/062uq3z3kwzuv	0	
Radio Kolor FM	https://stream.rcs.revma.com/nrfscb49xd3vv	0	
Dance FM Moldova	http://37.233.41.76:8000/dancefm	0	
DJ CMO	https://stream.laut.fm/dj-cmo_in_owl	0	
The Vibe Dancefloor	http://audio.ptisp.com:8046/live	0	
Discoteam Phoenix	https://stream.laut.fm/discoteam-phoenix	0	
Radio MidtSjaelland	http://player.radiomidt.dk/broadwave.mp3	0	
Italo Radio FM	http://beiaard.ddns.net:8102/stream	0	
Melodia FM	https://online.melodiafm.ua/MelodiaFM_Disco_HD	0	
Sunshine Radio	http://stream.sunshinefm.hu:8100/sunshine	0	
Galaxy Hit Radio	https://stream.laut.fm/galaxy-hitradio	0	
Mega Charts	https://stream.laut.fm/mega	0	
New Hits Radio Italy	https://stream.laut.fm/newhitsradio_italy	0	
Hit DJ	https://stream.laut.fm/hit-dj	0	
Beats 90	https://stream.laut.fm/beats90	20	
Radio 4U	https://mpc1.mediacp.eu:8342/stream	0	
Dance Nation 90s	https://stream.revma.ihrhls.com/zc6946/hls.m3u8	0	
Retro FM - Disco	https://edge05.cdn.bitflip.ee:8888/RETRO	0	
Radio Disco Mix	https://play.discomix.ro/8002/stream	20	
Disco Radio	https://discoradio-radiohosting.radioca.st/stream	0	
Skyradio 80s	https://stream.laut.fm/skyradio80s	10	
Dancehouse	https://stream.laut.fm/dancehouse	0	
Fantasy Radio	https://italo.italo.nu	0	
Magic Disco Radio	http://stream1.virtualisan.net:4420/live.mp3	0	
Power Radio	https://stream.laut.fm/powerradio	0	
90s Eurodance Kazakhstan	https://myradio24.org/5967	0	
Beatdevil Radio	https://stream.laut.fm/beatdevilradio	0	
ETS Radio Club Mix	https://stream.laut.fm/etsradio-2	0	
Free FM World Denmark	http://rocafmadrid.radioca.st/dk	0	
Radio Max Hit Polska	https://s3.slotex.pl:7370/stream	0	
Radio Music CZECH	https://mpc1.mediacp.eu:8410/stream	10	
Radio TOP80s	http://stream12.hosterion.pl:4240/;	0	
Radio Bloodstream	http://uk1.internet-radio.com:8294/stream	0	
Music Is My Life PL	https://s3.slotex.pl:7496/;	0	
Italo Disco Classic	https://ams-pioneer02.dedicateware.com:2485/stream	0	
Italo Disco New	https://ams-pioneer02.dedicateware.com:2545/stream	0	
Euro Disco	https://ams-pioneer02.dedicateware.com:2655/stream	0
Italo Disco In The MIX  https://ams-pioneer02.dedicateware.com:2765/stream  0
Gherla FM	http://89.39.189.52:8000/stream;	0	
Play 90s	https://live.playradio.org:8443/90HD	0	
DIRE STRAITS Streaming	http://streaming.exclusive.radio/er/direstraits/icecast.audio	0	
SCORPIONS Streaming	http://streaming.exclusive.radio/er/scorpions/icecast.audio	0	
METALICA Streaming	https://nl4.mystreaming.net/er/metallica/icecast.audio	0	
ROXETTE Streaming	http://streaming.exclusive.radio/er/roxette/icecast.audio	0	
DEPECHE MODE Streaming	http://streaming.exclusive.radio/er/depechemode/icecast.audio	0	
Radio Yanosik	https://stream.rcs.revma.com/7vhveccrnquvv	0	
ESKA Do Pracy	https://ic2.smcdn.pl/6140-1.mp3	20	
Eska Gorąca 20	https://ic1.smcdn.pl/6130-1.mp3	0	
Eska Gorąca 100	https://ic1.smcdn.pl/6120-1.mp3	0	
Eska Impreska	waw.ic.smcdn.pl/6030-1.mp3	15	
EURODANCE	http://79.120.39.202:8000/eurodance	30	
DISCO Radio	http://stream.rcs.revma.com:80/cvswvmyewzzuv	0	
Radio Emaus	http://stream.radioemaus.pl:8000/mp3stream	0	
Nedds24.pl	http://s1.nedds24.pl:8100/radio.mp3	0	
Składankinet.pl	http://s1.slotex.pl:7488/;	10	
RMF MAXX Sunrise Festival	http://rmfstream1.interia.pl:80/rmf_maxx_sun	0	
Radio Piekary	https://go-audio.toya.net.pl/813	0	
DiscoParty.pl Lata 90's	https://s3.slotex.pl:7170/stream/1/?sid=1	0	
Pro-Radio	http://radiointernetowe.net:7802/;	0	
Radio Zawiercie	http://51.255.8.139:9078/listen.xtl?sid=1	0	
Radio Mirage ITALO DANCE	http://s0.radiohost.pl:9569/stream	0	
Radio Mirage PRYWATKA	http://s0.radiohost.pl:7214/stream	15	
Radio MIRAGE SPACE	http://s0.radiohost.pl:9563/stream	0	
Radio 4MUSIC	https://s1.slotex.pl:7102/stream/1/	0	
Na stoku	https://sluchaj.link:5443/nastoku	0	
SuperDj Radio	https://s03.diazol.hu:35152/stream	0	
Roxy Radio	https://s2.audiostream.hu/roxy_192k	0	
PulsR Hitparty	http://193.200.43.23:80/hitpartyHD.mp3	0	
Radio 1	http://109.199.61.180:80/5201/live.mp3	0	
Antyradio Greatest	https://an02.cdn.eurozet.pl/ANTGRE.mp3	20	
Teszt LapFox (320 VOR)	https://radio.lapfoxradio.com/radio/8000/stream-ogg-320.ogg	0	
